"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.279373700E-2,-2.610804141E-2,-5.369267464E-1,-9.305162430E-1
3.075882500E-2,1.432215571E-1,-5.291461945E-1,-8.738961220E-1
3.863236000E-2,1.039187610E-1,-5.327272415E-1,-9.764223099E-1
4.650589500E-2,5.359897017E-2,-4.243383408E-1,-1.030838013E0
5.447098300E-2,2.805829048E-2,-3.535542488E-1,-1.065308094E0
6.234451800E-2,-4.598516226E-2,-3.189349174E-1,-9.150576591E-1
7.034012400E-2,-1.394138336E-1,-2.957267761E-1,-8.268985748E-1
7.830521100E-2,-2.479491681E-1,-3.532972336E-1,-7.812037468E-1
8.630081700E-2,-2.200055420E-1,-3.400983810E-1,-4.175567627E-1
9.423538700E-2,-1.564742774E-1,-2.915410995E-1,-1.707649231E-2
1.021089220E-1,-1.607824266E-1,-2.260828018E-1,2.688274384E-1
1.100434930E-1,-3.282338977E-1,-1.864104271E-1,3.235769272E-1
1.179170280E-1,-5.374163985E-1,-1.492176056E-1,2.180452347E-1
1.257905630E-1,-5.538829565E-1,-1.142630577E-1,6.891727448E-2
1.337251330E-1,-4.248079658E-1,-1.296982765E-1,1.069231033E-1
1.415986690E-1,-3.217521906E-1,-2.274084091E-1,-1.854810715E-1
1.495332390E-1,-2.348174155E-1,-3.306679726E-1,1.215591431E-1
1.574067740E-1,-5.622786283E-2,-2.286858559E-1,8.703804016E-2
1.653108270E-1,-5.099442601E-2,-1.092429161E-1,-5.674266815E-2
1.732759150E-1,-9.030757844E-2,-8.376169205E-2,-3.533401489E-1
1.811494500E-1,9.327366948E-3,-1.486625671E-1,-7.501540184E-1
1.890535030E-1,1.557293087E-1,-2.353620529E-1,-9.030752182E-1
1.969575550E-1,1.712655127E-1,-3.394680023E-1,-1.146131992E0
2.048310900E-1,1.263500750E-1,-4.329309464E-1,-1.259077072E0
2.127351430E-1,2.028834224E-1,-4.812746048E-1,-1.284627914E0
2.206697130E-1,2.633043826E-1,-5.665645599E-1,-1.075723648E0
2.285127310E-1,2.772598565E-1,-6.241931915E-1,-8.093647957E-1
2.364473010E-1,2.778461874E-1,-6.629614830E-1,-5.561795235E-1
2.443513540E-1,2.965396941E-1,-7.046241760E-1,-4.073228836E-1
2.522859240E-1,2.811572552E-1,-6.991438866E-1,-2.888593674E-1
2.601594600E-1,2.022992671E-1,-6.423110962E-1,-1.702041626E-1
2.680940300E-1,-4.105966538E-2,-5.197477341E-1,-3.299980164E-1
2.760286000E-1,-1.929410994E-1,-2.267069817E-1,-3.775587082E-1
2.839021350E-1,-1.804779321E-1,1.141018867E-1,-2.212524414E-2
2.918672230E-1,-1.762965620E-1,3.279232979E-1,2.977514267E-1
2.998017940E-1,-1.983047128E-1,4.389362335E-1,4.585924149E-1
3.077363640E-1,-2.197658867E-1,5.254778862E-1,4.945392609E-1
3.156404170E-1,-2.897506356E-1,6.735343933E-1,2.912511826E-1
3.235444690E-1,-3.493123353E-1,7.624583244E-1,7.201194763E-2
3.314790400E-1,-3.148238659E-1,8.345484734E-1,-2.013015747E-2
3.393525750E-1,-1.710339934E-1,8.975067139E-1,-7.737255096E-2
3.472261100E-1,-1.302480996E-1,8.526077271E-1,-3.917407990E-1
3.550996450E-1,-9.173646569E-2,7.610545158E-1,-6.072268486E-1
3.629731800E-1,-2.778075635E-2,6.864962578E-1,-8.179912567E-1
3.709382680E-1,-1.046530753E-1,6.397757530E-1,-1.120527267E0
3.788118030E-1,-1.627062261E-1,4.889359474E-1,-1.320394039E0
3.867463740E-1,-2.224730551E-1,3.874764442E-1,-1.382710934E0
3.945893910E-1,-4.041016102E-1,3.227372169E-1,-1.241958618E0
4.024934440E-1,-2.916530669E-1,3.072776794E-1,-1.001037598E0
4.104585320E-1,-4.751855135E-2,2.442812920E-1,-7.088847160E-1
4.183320670E-1,9.846691787E-2,1.054315567E-1,-3.924655914E-1
4.262056020E-1,2.470399290E-1,5.504751205E-2,-4.007439613E-1
4.340791370E-1,1.243207902E-1,2.159786224E-2,-4.419007301E-1
4.419526720E-1,1.234723628E-1,-4.240846634E-2,-4.085249901E-1
4.499177600E-1,2.138911784E-1,2.766084671E-2,-4.533848763E-1
4.577912950E-1,3.086478710E-1,6.413936615E-2,-4.086813927E-1
4.657869010E-1,3.433578610E-1,9.649324417E-2,-2.660446167E-1
4.736909540E-1,2.936449647E-1,1.146717072E-1,3.237915039E-2
4.815950060E-1,2.049330175E-1,2.003278732E-1,3.419008255E-1
4.895600940E-1,1.970160306E-1,2.274651527E-1,2.156944275E-1
4.974641470E-1,1.640498042E-1,1.820230484E-1,-1.333694458E-1
5.053987170E-1,1.619724482E-1,1.233625412E-1,-3.927793503E-1
5.133027700E-1,2.866759598E-1,7.359504700E-3,-5.489516258E-1
5.211763050E-1,5.416415334E-1,-2.444696426E-2,-4.392747879E-1
5.291413930E-1,8.321688175E-1,-3.721237183E-2,-3.196744919E-1
5.370149280E-1,9.052411914E-1,-1.889824867E-1,-3.038597107E-1
5.449800160E-1,7.119965553E-1,-2.553124428E-1,-2.667121887E-1
5.528535510E-1,5.132777691E-1,-2.840428352E-1,-2.858657837E-1
5.606965690E-1,3.193475008E-1,-2.361588478E-1,-7.038784027E-2
5.686616570E-1,1.804838181E-1,-1.499676704E-1,-7.757091522E-2
5.765351920E-1,2.163968086E-1,-2.050342560E-1,-6.320571899E-2
5.844697620E-1,3.269381523E-1,-3.532514572E-1,1.670923233E-1
5.923738150E-1,4.814199209E-1,-4.456415176E-1,2.810258865E-1
6.002473500E-1,5.192267895E-1,-4.919652939E-1,3.122282028E-1
6.081819200E-1,4.732195139E-1,-5.172424316E-1,3.293819427E-1
6.160859730E-1,4.007407427E-1,-4.782586098E-1,3.204545975E-1
6.239595080E-1,2.702338696E-1,-4.107341766E-1,3.021173477E-1
6.318330440E-1,1.109275222E-1,-3.465151787E-1,2.149095535E-1
6.397370960E-1,-1.152098179E-2,-1.833448410E-1,-4.985713959E-2
6.477021840E-1,-1.289856434E-2,-1.259303093E-1,-1.860771179E-1
6.555757190E-1,3.293061256E-2,-1.525616646E-1,-1.506509781E-1
6.636018420E-1,4.649770260E-2,-1.822280884E-1,-1.865787506E-1
6.715058950E-1,9.784221649E-3,-9.896230698E-2,-4.081602097E-1
6.793794300E-1,5.112224817E-2,-5.466079712E-2,-4.559421539E-1
6.873140010E-1,1.252633333E-2,-2.618217468E-2,-3.930978775E-1
6.951875360E-1,-3.789263964E-2,-3.194713593E-2,-2.057828903E-1
7.031221060E-1,-2.091803551E-1,1.085214615E-1,-1.829452515E-1
7.110261590E-1,-3.556359410E-1,1.794023514E-1,-3.567066193E-1
7.188996940E-1,-4.286401570E-1,1.771945953E-1,-1.577854156E-1
7.268342640E-1,-4.993245006E-1,1.229896545E-1,-1.592292786E-1
7.347077990E-1,-4.986521006E-1,1.067261696E-1,-4.145641327E-1
7.427034050E-1,-5.941642523E-1,2.039909363E-3,-5.551795959E-1
7.506074580E-1,-6.864140630E-1,-7.783365250E-2,-5.524687767E-1
7.584809930E-1,-6.940658689E-1,-4.571342468E-2,-4.978132248E-1
7.664460810E-1,-5.867343545E-1,2.165079117E-2,-2.211170197E-1
7.743501330E-1,-7.778375745E-1,1.333026886E-1,-3.733711243E-1
7.822847040E-1,-6.048576236E-1,1.789188385E-1,-8.480219841E-1
7.901887560E-1,-2.922529876E-1,8.196210861E-2,-5.501179695E-1
7.980622920E-1,-2.509526312E-1,-5.174446106E-2,-1.019420624E-1
8.059968620E-1,-2.002750635E-1,-8.564567566E-2,-8.316135406E-2
8.138703970E-1,-1.175223589E-1,-5.762434006E-2,-1.813983917E-1
8.217744500E-1,-1.671242714E-2,-5.357837677E-2,-2.256164551E-1
8.296479850E-1,6.643378735E-2,-7.166433334E-2,-2.491455078E-1
8.375825550E-1,7.522031665E-2,-8.381128311E-2,-2.110137939E-1
8.455476430E-1,5.597481132E-2,-5.710601807E-2,-1.611757278E-1
8.534211780E-1,4.760080576E-2,1.104068756E-2,-2.563600540E-1
8.613557490E-1,2.852192521E-2,9.867572784E-2,-2.114181519E-1
8.692598010E-1,-1.162424684E-2,1.377987862E-1,-4.879474640E-2
8.771333360E-1,7.922396064E-3,1.836304665E-1,1.025905609E-1
8.850679070E-1,-1.310423911E-1,2.596626282E-1,1.874456406E-1
8.929719600E-1,-3.061890006E-1,2.726101875E-1,1.315574646E-1
9.009370470E-1,-4.184392095E-1,2.556748390E-1,1.027450562E-1
9.088105830E-1,-4.119482636E-1,2.655425072E-1,-6.136226654E-2
9.167146350E-1,-3.958184123E-1,2.663850784E-1,-2.291526794E-1
9.246492060E-1,-4.059113264E-1,2.012610435E-1,-1.830663681E-1
9.325227410E-1,-4.156427979E-1,1.666707993E-1,-1.318368912E-1
9.404573110E-1,-3.477477431E-1,1.173858643E-1,-2.097043991E-1
9.483613640E-1,-1.627204865E-1,5.944108963E-2,-4.629135132E-2
9.562348990E-1,-3.336311877E-2,2.380847931E-3,9.027671814E-2
9.641694690E-1,-2.829203010E-2,-2.813386917E-2,1.213808060E-1
9.720430040E-1,-7.287143916E-2,-6.120014191E-2,8.925437927E-3
9.799775750E-1,-1.003342867E-1,-5.086565018E-2,-1.037082672E-1
