"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.605769883E0,6.501278632E1,2.551509378E1,-2.846627532E1,3.599999845E-1,0.000000000E0,1.850000000E1,1.000000000E2
3.574320036E0,6.501311502E1,2.551515145E1,6.453360558E1,1.700000018E-1,0.000000000E0,1.100000000E1,1.000000000E2
4.637731996E0,6.501301892E1,2.551517283E1,4.653363597E1,3.700000048E-1,0.000000000E0,9.500000000E0,1.000000000E2
5.589686457E0,6.501304369E1,2.551523267E1,6.453362058E1,7.299999595E-1,2.425000000E2,8.500000000E0,1.000000000E2
6.577634918E0,6.501310245E1,2.551507459E1,7.653361877E1,6.999999881E-1,2.268000031E2,8.500000000E0,1.000000000E2
7.580217225E0,6.501300073E1,2.551506688E1,4.653365445E1,1.029999971E0,2.083999939E2,7.500000000E0,1.000000000E2
7.888822186E0,6.501298682E1,2.551515279E1,3.453364927E1,7.400000095E-1,2.056000061E2,8.000000000E0,1.000000000E2
9.582036185E0,6.501292433E1,2.551507928E1,2.653367915E1,0.000000000E0,0.000000000E0,6.500000000E0,1.000000000E2
1.054452334E1,6.501292433E1,2.551507928E1,2.653367915E1,0.000000000E0,0.000000000E0,6.500000000E0,1.000000000E2
1.156042218E1,6.501292433E1,2.551507928E1,2.653367915E1,0.000000000E0,0.000000000E0,6.000000000E0,1.000000000E2
1.255843491E1,6.501291205E1,2.551504986E1,2.453368676E1,4.099999964E-1,2.193000031E2,6.000000000E0,1.000000000E2
1.360423110E1,6.501289269E1,2.551502111E1,2.353369671E1,1.110000014E0,2.051000061E2,5.500000000E0,1.000000000E2
1.457706011E1,6.501288091E1,2.551497661E1,2.353370589E1,9.399999976E-1,2.006000061E2,5.000000000E0,1.000000000E2
1.554117684E1,6.501287153E1,2.551495775E1,2.253371129E1,8.399999738E-1,2.041000061E2,5.000000000E0,1.000000000E2
1.656630633E1,6.501285992E1,2.551494216E1,2.253371706E1,1.019999981E0,2.010000000E2,5.000000000E0,1.000000000E2
1.755198695E1,6.501284529E1,2.551493780E1,2.153372257E1,1.179999948E0,2.013000031E2,4.500000000E0,1.000000000E2
1.856327953E1,6.501283670E1,2.551492439E1,2.053372707E1,1.269999981E0,2.011999969E2,4.500000000E0,1.000000000E2
1.957606502E1,6.501282915E1,2.551491517E1,1.953373072E1,1.179999948E0,2.013000031E2,4.000000000E0,1.000000000E2
2.057747833E1,6.501281750E1,2.551490176E1,1.853373626E1,1.149999976E0,2.075000000E2,4.000000000E0,1.000000000E2
2.158160237E1,6.501280791E1,2.551488457E1,1.853374153E1,1.000000000E0,2.135000000E2,4.000000000E0,1.000000000E2
2.256838110E1,6.501280032E1,2.551487493E1,1.753374524E1,1.159999967E0,2.171999969E2,3.500000000E0,1.000000000E2
2.357971871E1,6.501278867E1,2.551485968E1,1.753375100E1,9.799999595E-1,2.191999969E2,4.000000000E0,1.000000000E2
2.458900106E1,6.501277656E1,2.551484618E1,1.753375671E1,1.339999914E0,2.105000000E2,3.500000000E0,1.000000000E2
2.556415594E1,6.501276487E1,2.551483403E1,1.753376212E1,1.319999933E0,2.070000000E2,4.000000000E0,1.000000000E2
2.659213714E1,6.501275288E1,2.551482623E1,1.753376712E1,1.350000024E0,2.083999939E2,4.000000000E0,1.000000000E2
2.757571352E1,6.501274311E1,2.551480821E1,1.753377256E1,1.139999986E0,2.138999939E2,4.000000000E0,1.000000000E2
2.856600844E1,6.501273360E1,2.551479287E1,1.653377759E1,1.000000000E0,2.178999939E2,4.000000000E0,1.000000000E2
2.956430702E1,6.501272270E1,2.551478181E1,1.653378260E1,9.599999785E-1,2.208000031E2,4.000000000E0,1.000000000E2
3.057804852E1,6.501271001E1,2.551476060E1,1.553378941E1,1.139999986E0,2.205000000E2,4.000000000E0,1.000000000E2
3.156955078E1,6.501269760E1,2.551474409E1,1.453379557E1,1.120000005E0,2.248999939E2,3.500000000E0,1.000000000E2
3.257861578E1,6.501268616E1,2.551472641E1,1.353380154E1,1.110000014E0,2.278999939E2,3.500000000E0,1.000000000E2
3.359568994E1,6.501267476E1,2.551470419E1,1.253380801E1,1.159999967E0,2.300000000E2,3.500000000E0,1.000000000E2
3.457881913E1,6.501266588E1,2.551467955E1,1.153381391E1,1.079999924E0,2.310000000E2,3.500000000E0,1.000000000E2
3.557036713E1,6.501265678E1,2.551465424E1,1.053381996E1,1.129999995E0,2.303999939E2,3.500000000E0,1.000000000E2
3.657412574E1,6.501264781E1,2.551463094E1,9.533825736E0,1.189999938E0,2.288999939E2,3.500000000E0,1.000000000E2
3.756297547E1,6.501263570E1,2.551460990E1,9.533832323E0,1.139999986E0,2.191999969E2,3.500000000E0,1.000000000E2
3.855987101E1,6.501262309E1,2.551458827E1,8.533839151E0,1.159999967E0,2.168999939E2,3.000000000E0,1.000000000E2
3.960750193E1,6.501261039E1,2.551456883E1,8.533845756E0,1.279999971E0,2.153000031E2,3.000000000E0,1.000000000E2
4.058059978E1,6.501259760E1,2.551455223E1,7.533852059E0,1.240000010E0,2.155000000E2,3.500000000E0,1.000000000E2
4.159938701E1,6.501258675E1,2.551453622E1,7.533857634E0,1.339999914E0,2.130000000E2,3.000000000E0,1.000000000E2
4.255773259E1,6.501257543E1,2.551452281E1,6.533863066E0,1.350000024E0,2.065000000E2,3.000000000E0,1.000000000E2
4.356593516E1,6.501256462E1,2.551451107E1,6.533868131E0,1.370000005E0,2.081000061E2,3.500000000E0,1.000000000E2
4.456065031E1,6.501255297E1,2.551449750E1,5.533873697E0,1.069999933E0,2.143999939E2,3.000000000E0,1.000000000E2
4.559004435E1,6.501254673E1,2.551448476E1,5.533877315E0,1.179999948E0,2.238999939E2,3.000000000E0,1.000000000E2
4.659696793E1,6.501253730E1,2.551447168E1,4.533882062E0,1.149999976E0,2.231999969E2,3.000000000E0,1.000000000E2
4.756763877E1,6.501252816E1,2.551445936E1,4.533886622E0,1.169999957E0,2.226000061E2,3.000000000E0,1.000000000E2
4.857343193E1,6.501251651E1,2.551444461E1,3.533892326E0,1.259999990E0,2.153999939E2,3.000000000E0,1.000000000E2
4.956595766E1,6.501250570E1,2.551442885E1,2.533897859E0,1.029999971E0,2.113000031E2,3.000000000E0,1.000000000E2
5.057662485E1,6.501249815E1,2.551441778E1,2.533901728E0,1.120000005E0,2.066000061E2,3.000000000E0,1.000000000E2
5.155418162E1,6.501248822E1,2.551440446E1,2.533906678E0,1.209999919E0,2.065000000E2,3.000000000E0,1.000000000E2
5.258567546E1,6.501247753E1,2.551439054E1,1.533911955E0,1.220000029E0,2.053999939E2,3.000000000E0,1.000000000E2
5.356224785E1,6.501246471E1,2.551438015E1,1.533917556E0,1.199999928E0,1.988999939E2,3.000000000E0,1.000000000E2
5.461575108E1,6.501245277E1,2.551437118E1,1.533922689E0,1.289999962E0,1.995000000E2,3.000000000E0,1.000000000E2
5.556741923E1,6.501243738E1,2.551436255E1,5.339289618E-1,1.289999962E0,1.996999969E2,2.500000000E0,1.000000000E2
5.657302634E1,6.501242460E1,2.551435970E1,5.339336724E-1,1.250000000E0,2.005000000E2,2.500000000E0,1.000000000E2
5.755175073E1,6.501240989E1,2.551435341E1,5.339394429E-1,1.370000005E0,1.993999939E2,2.500000000E0,1.000000000E2
5.854449934E1,6.501239874E1,2.551434268E1,-4.660554910E-1,1.009999990E0,2.038000031E2,3.000000000E0,1.000000000E2
5.954609892E1,6.501238873E1,2.551433179E1,-4.660507930E-1,1.090000033E0,2.058000031E2,3.000000000E0,1.000000000E2
6.055380607E1,6.501237666E1,2.551432005E1,-4.660452937E-1,1.129999995E0,2.041999969E2,3.000000000E0,1.000000000E2
6.157385438E1,6.501236547E1,2.551430253E1,-1.466039424E0,1.110000014E0,2.013999939E2,3.000000000E0,1.000000000E2
6.259612580E1,6.501235637E1,2.551429675E1,-1.466035635E0,1.199999928E0,2.013000031E2,3.000000000E0,1.000000000E2
6.356088380E1,6.501235243E1,2.551428887E1,-4.660333695E-1,1.199999928E0,1.991000061E2,3.000000000E0,1.000000000E2
6.456945572E1,6.501234460E1,2.551428837E1,-4.660306254E-1,1.199999928E0,1.961000061E2,3.000000000E0,1.000000000E2
6.556216945E1,6.501233617E1,2.551428325E1,5.339728556E-1,1.149999976E0,1.955000000E2,3.000000000E0,1.000000000E2
6.661523449E1,6.501232490E1,2.551428409E1,1.533976621E0,1.240000010E0,1.958999939E2,3.000000000E0,1.000000000E2
6.756652141E1,6.501231526E1,2.551428007E1,2.533980392E0,1.230000019E0,1.968999939E2,2.500000000E0,1.000000000E2
6.859264734E1,6.501230633E1,2.551427781E1,2.533983715E0,1.209999919E0,1.975000000E2,3.000000000E0,1.000000000E2
6.957996607E1,6.501229988E1,2.551427571E1,3.533986170E0,1.220000029E0,1.986000061E2,3.000000000E0,1.000000000E2
